,title,artist
0,"What Is Love - 7"" Mix",Haddaway
1,Big Me,Foo Fighters
2,Under the Bridge,Red Hot Chili Peppers
3,Breathe,The Prodigy
4,Scar Tissue,Red Hot Chili Peppers
5,Dirty Little Secret,The All-American Rejects
6,Changes,2Pac
7,I Still Haven't Found What I'm Looking For,U2
8,Caminando por la vida,Melendi
9,Adolescentes,Kiko y Shara
10,Appreciate It,2Baba
11,Bohemian Rhapsody,Queen
12,Points of Authority,Linkin Park
13,You Give Love A Bad Name,Bon Jovi
14,Wishing on a Star,Rose Royce
